month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
03-21,-0.08591103593091137,0.20666589532768737,-0.6918071306472844,0.4618095904986418,0.867014435449677,2.0796085170650027
03-22,-0.09656584340530529,0.19620522025243411,-0.7551297230907507,0.45231631800321315,0.8410870039718197,1.9896476488007109
03-23,-0.10463481754636575,0.1833037118438475,-0.8066989822008834,0.44592401640090373,0.8146272850874016,1.9244692335185039
03-24,-0.11595295835409286,0.17869387010192764,-0.8504832413110164,0.44595467630799934,0.7890445035233854,1.9066718803419158
03-25,-0.12931026582848656,0.1793956950266744,-0.8818633337544826,0.4422468832740086,0.7508909672673096,1.8883114981433706
03-26,-0.14366757330288032,0.18514251995142134,-0.926291759531282,0.44194917397586664,0.7375429689983977,1.9243861882278595
03-27,-0.1577182141106075,0.20176267820950153,-0.9889376853080816,0.44797501915443594,0.7155892224050472,1.95852217374886
03-28,-0.16934135491833455,0.21555533646758163,-1.077798611084881,0.45137630302887266,0.6812012292744082,2.0706080445079036
03-29,-0.1810436623927283,0.22616716139232834,-1.1841237035283472,0.4479623855512102,0.6434632741203477,2.1172515230395796
03-30,-0.19823180320045533,0.23641148631707493,-1.2993737959718135,0.4445727946727634,0.6351939502278259,2.186489548182765
03-31,-0.22197744400818237,0.23883164457515482,-1.4280338884152795,0.43687517113720264,0.6210498208277154,2.2816340210877093
04-01,-0.24874391814924285,0.23842180283323477,-1.5348173141920791,0.43357628075430266,0.6292625942714265,2.3753015502043358
04-02,-0.27279789229030343,0.24203696109131467,-1.637401573302212,0.44353424231664773,0.6498138141480587,2.5383482372840316
04-03,-0.2905260330980307,0.24715961934939468,-1.7205141657456784,0.45730757358304286,0.6736655907132864,2.687086553526772
04-04,-0.30440917390575795,0.2580089442741414,-1.7976334248558112,0.46636702213757864,0.7066266723311064,2.8106088032034857
04-05,-0.31666231471348505,0.27686493586555483,-1.8975493506326107,0.4699918329204693,0.7103464411728044,2.922968221761307
04-06,-0.32857795552121205,0.2938534274569683,-2.013679443076077,0.46994332731704463,0.7089361534968613,3.0223878457517115
04-07,-0.34260859632893914,0.31348858571504845,-2.1362303688528765,0.47412758350139633,0.7083327610583267,3.096910458975607
04-08,-0.3570759038033329,0.32481207730646194,-2.273809627963009,0.48269979397781665,0.7228501892877277,3.168731795801913
04-09,-0.36869904461105996,0.3321872355645421,-2.4015297204064754,0.48677006458204347,0.6950918715728628,3.1831600621619485
04-10,-0.3804663520854538,0.33196156048928893,-2.521906479516608,0.4761545926156088,0.6772971868849732,3.0958820605194064
04-11,-0.39424449289318086,0.3220517187473691,-2.626510738626741,0.4698447465190251,0.6473253722511755,3.0792076386312286
04-12,-0.40399180036757454,0.3172227103387826,-2.698629997736874,0.4604868880557993,0.6513136897166488,3.125247278579965
04-13,-0.41022577450863484,0.31640536859686264,-2.7390009235136734,0.45330767379787557,0.6785681764229136,3.2141851597565254
04-14,-0.4098697486496952,0.31811219352160947,-2.7742735159571397,0.45509580334186384,0.6900280725581367,3.200115614126388
04-15,-0.40493122279075555,0.32350901844635616,-2.802943608400606,0.4577519211503972,0.7005473340496763,3.1899794556335728
04-16,-0.3998693635984826,0.32414334337110273,-2.8476870341774054,0.45992133191714213,0.7141979752853205,3.0880847740045843
04-17,-0.3972075044062096,0.3211785016291827,-2.897748793287538,0.458054561937004,0.7386028327787729,3.1160516006918
04-18,-0.39644231188060325,0.3208219932205959,-2.938987219064338,0.4509919745745697,0.7447768744383066,3.0445402723790087
04-19,-0.3965504526883302,0.32634465147867586,-2.9882298115078036,0.45890326660246233,0.776527644526341,3.021994462067849
04-20,-0.3988994268293905,0.33794147640342254,-3.032238237284603,0.4550424393580873,0.7901084064498917,2.8761242843492627
04-21,-0.40315090097045087,0.34705413466150253,-3.107006663061403,0.4272117032393012,0.7840963787813702,2.7994240767880547
04-22,-0.40951737511151126,0.35489929291958233,-3.1983125888382022,0.4011888602385933,0.8013889712105524,2.7205975600672576
04-23,-0.4150421825859051,0.3513869511776622,-3.2963001812816684,0.36677385700172715,0.8307512057132423,2.675329836867873
04-24,-0.42029699006029897,0.33828044276907543,-3.4049911070584686,0.35368248143207837,0.8316639474250441,2.6014765612911583
04-25,-0.4246809642013594,0.3297789343604886,-3.494213699501935,0.3429568757084072,0.8276364690731403,2.4962528961909976
04-26,-0.42954910500908666,0.32022742595190196,-3.558747125278734,0.3314700235601893,0.8504070346426559,2.3797665663799794
04-27,-0.43448391248348067,0.3159184175433153,-3.6145747177222,0.3046942661750381,0.860465197020963,2.295712218132378
04-28,-0.43861288662454123,0.3216435758013953,-3.654823143498999,0.2884060957187805,0.8799605371205139,2.2611202161812325
04-29,-0.44232686076560185,0.32081290072614205,-3.6993915692757984,0.2773819629402931,0.8630828404914416,2.1752237391078584
04-30,-0.4452250015733291,0.3213405589842221,-3.733701661719265,0.27563948346226724,0.861419550737563,2.159942445184012
05-01,-0.445752309047723,0.32148655057563547,-3.768413420829398,0.2853853655156481,0.8774781156050574,2.174469419156228
05-02,-0.4451037831887836,0.31673754216704897,-3.7781060132728643,0.2960502022420828,0.893161653574678,2.097789836592937
05-03,-0.4441010906631775,0.3164227004251291,-3.765741939049664,0.3046194656844642,0.8776333413583204,2.131948394610041
05-04,-0.4389583981375713,0.3170853586832092,-3.7644153648264633,0.32591804638988914,0.8721866307867481,2.0896337755944354
05-05,-0.43345653894529856,0.3193055169412893,-3.758137123936596,0.3418201967314553,0.8575697296081998,2.0001500867192403
05-06,-0.4271663464196924,0.32065817519936923,-3.765473883046729,0.3660065003355272,0.8662053429990794,1.9996435776848414
05-07,-0.4191111538940862,0.3170191667907825,-3.776522308823528,0.388860863674733,0.8623724006269695,1.9691163397342437
