station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2017,12.322445053302605,229,135,94
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2018,9.949064840092191,38,322,284
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2019,17.208726594154648,253,162,91
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2020,14.123254205185134,288,95,193
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2021,10.00145880702355,335,125,210
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2022,13.49448914152367,275,163,112
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2023,14.773404498249814,303,156,147
GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,2024,8.070254791314504,243,142,101
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2008,20.813590452065277,283,120,163
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2009,15.030642674696974,16,165,149
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2010,24.30306052316961,304,49,255
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2011,25.516886752001852,359,166,193
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2012,26.9962341059823,270,161,109
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2013,15.555270124739678,11,84,73
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2015,16.8238020657108,35,175,140
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2016,20.783157325303026,264,115,149
